GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
InciDashboard_e4a,com.uniovi.InciDashboard_e4a,WebSecurityConfig,0,68,0,0,0,9,0,5,0,5
InciDashboard_e4a,com.uniovi.InciDashboard_e4a,InciDashboardE4aApplication,5,3,0,0,2,1,1,1,1,1
InciDashboard_e4a,com.uniovi.InciDashboard_e4a.controllers,LoginController,33,3,2,0,11,1,5,1,4,1
InciDashboard_e4a,com.uniovi.InciDashboard_e4a.controllers,HomeController,33,3,0,0,9,1,3,1,3,1
InciDashboard_e4a,utils,JSONFormatter.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
InciDashboard_e4a,utils,IncidentProperties2Json,0,18,0,0,0,4,0,3,0,3
InciDashboard_e4a,utils,IncidenceMock,3,0,0,0,1,0,1,0,1,0
InciDashboard_e4a,utils,JSONFormatter,0,45,0,0,0,11,0,4,0,4
InciDashboard_e4a,utils,Assert,25,3,5,1,8,2,6,1,3,1
InciDashboard_e4a,com.uniovi.InciDashboard_e4a.json,Deserializer,116,0,4,0,23,0,4,0,2,0
InciDashboard_e4a,com.uniovi.InciDashboard_e4a.json,JSONModule,17,0,0,0,4,0,1,0,1,0
InciDashboard_e4a,com.uniovi.InciDashboard_e4a.json,Serializer,118,0,6,0,29,0,5,0,2,0
InciDashboard_e4a,com.uniovi.InciDashboard_e4a.entities,Notification,104,3,22,0,31,2,16,1,5,1
InciDashboard_e4a,com.uniovi.InciDashboard_e4a.entities,LatLong,88,44,20,2,25,13,17,3,6,3
InciDashboard_e4a,com.uniovi.InciDashboard_e4a.entities,State,5,53,0,0,0,2,1,3,1,3
InciDashboard_e4a,com.uniovi.InciDashboard_e4a.entities,Incidence,133,108,16,6,36,24,24,8,14,7
InciDashboard_e4a,com.uniovi.InciDashboard_e4a.entities,Operator,155,8,22,0,42,2,23,1,12,1
InciDashboard_e4a,com.uniovi.InciDashboard_e4a.entities,Agent,148,41,20,0,36,13,24,6,14,6
InciDashboard_e4a,com.uniovi.InciDashboard_e4a.services,SecurityService,25,3,2,0,7,1,2,1,1,1
InciDashboard_e4a,com.uniovi.InciDashboard_e4a.services,UserDetailsServiceImpl,27,3,0,0,5,1,1,1,1,1
InciDashboard_e4a,com.uniovi.InciDashboard_e4a.services,IncidencesService,9,9,0,0,3,3,2,2,2,2
InciDashboard_e4a,com.uniovi.InciDashboard_e4a.services,NotificationsService,10,3,0,0,3,1,2,1,2,1
InciDashboard_e4a,com.uniovi.InciDashboard_e4a.services,OperatorServices,5,3,0,0,2,1,1,1,1,1
InciDashboard_e4a,com.uniovi.InciDashboard_e4a.services,InsertSampleDataService,0,309,0,0,0,67,0,2,0,2
InciDashboard_e4a,com.uniovi.InciDashboard_e4a.services,AgentsService,17,16,0,0,5,4,2,2,2,2
